가	g a
경차	g y eo NG ch a
경찰	g y eo NG ch a L
경찰관	g y eo NG ch a L g w a N
경찰대	g y eo NG ch a L d e
경찰법	g y eo NG ch a L pp eo P
경찰봉	g y eo NG ch a L b o NG
경찰서	g y eo NG ch a L s eo
경찰차	g y eo NG ch a L ch a
경찰청	g y eo NG ch a L ch eo NG
경첩	g y eo NG ch eo P
경청	g y eo NG ch eo NG
경추	g y eo NG ch u
경치	g y eo NG ch i
경쾌	g y eo NG k w e
경탄	g y eo NG t a N
경품	g y eo NG p u M
경향	g y eo NG h y a NG
경향신문	g y eo NG h y a NG s i N m u N
경험	g y eo NG h eo M
경험자	g y eo NG h eo M j a
경협	g y eo NG h y eo P
경호실	g y eo NG h o s i L
경호원	g y eo NG h o w eo N
곁	g y eo T
곁눈	g y eo N n u N
곁들여	g y eo T tt eu L r y eo
계	g y e
계곡	g y e g o K
계구	g y e g u
계급	g y e g eu P
계기	g y e g i
계기판	g y e g i p a N
계단	g y e d a N
계란	g y e r a N
계부	g y e b u
계산	g y e s a N
계산법	g y e s a N pp eo P
계산서	g y e s a N s eo
계상	g y e s a NG
계세요	g y e s e y o
계셔	g y e s y eo
계셨	g y e s y eo T
계속	g y e s o K
계수	g y e s u
계승	g y e s eu NG
계시	g y e s i
계시록	g y e s i r o K
계신	g y e s i N
계신가요	g y e s i N kk a y o
계신다	g y e s i N tt a
계실	g y e s i L
계십니까	g y e s i M n i kk a
계십니다	g y e s i M n i d a
계약	g y e y a K
계약서	g y e y a K ss eo
계약직	g y e y a K jj i K
계열	g y e y eo L
계열사	g y e y eo L s a
계장	g y e j a NG
계절	g y e j eo L
계정	g y e j eo NG
계좌	g y e j w a
계집애	g y e j i b e
계책	g y e ch e K
계층	g y e ch eu NG
계통	g y e t o NG
계파	g y e p a
계획	g y e h w e K
계획법	g y e h w e K pp eo P
계획서	g y e h w e K ss eo
계획안	g y e h w e g a N
고	g o
고가	g o g a
고각	g o g a K
고갈	g o g a L
고개	g o g e
고객	g o g e K
고검	g o g eo M
고고	g o g o
고고씽	g o g o ss i NG
고고학자	g o g o h a K jj a
고과	g o g w a
고관	g o g w a N
고교	g o g y o
고급	g o g eu P
